2023-10-16/18:37:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:36		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:36		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:36		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:36		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:36		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:37		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:37		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:37		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:37		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:37		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:37		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:38		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:38		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:38		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:38		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:38		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:38		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:39		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:39		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:39		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:39		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:39		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:39		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:40		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:40		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:40		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:40		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:40		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:41		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:41		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:41		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:41		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:41		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:41		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:42		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:42		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:42		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:42		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:42		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:42		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:43		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:43		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:43		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:43		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:46		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:46		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:46		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:46		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:46		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:47		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:47		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:47		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:47		 wafer_13012020_090817.csv: File loaded successfully!!
